Inventor Name,Patent IDs,CPC Classes
Yukie TSUDA,11657944; 12432451,G02B; H01F; H04N; H05K
Walter Bleuel,4362402; 4364673; 5992263; 8256457; 8382346,
Gary A. Walkley,D336709,
Florent Cadoux,10985561,G06N; G06Q; H02J
Steven D. Swift,4445111; 5093654; 5418464; 5698984; 5804979; 5930745; 6392402,
Kevin Su,10185611; 10659550; 10672213; 10701759; 11006479; 11477847; 11729859; 12096522; 6366696; 6638866; 7087528; 9436533,G06F; G06Q; G07D; G09B; G10L; H04L; H04M; H04W
Thiago Tasca Nunes,11327963; 11663211; 12118000,G06F
Hung-Yi Ou Yang,8174842,
Gerald E. Davenport,4685316,
Michael Warmers,7031995; 7129737; 7142880; 7260359; 7756163; 9084123,H04W
Carolina Wilson,7244498; 7279534,
"Victor Michael Bove, JR.",10855974; 4673981; 9233287; 9483021; 9597590; 9764212,A63B; A63F; G01L; G01P; G02B; G03H; H04N
Christopher Callahan,6828048; 7673178; 8332971; 8506787; 8715871; 8864171; 9689819,B62K; G01N
Yosi Mass,10810375; 10831793; 11163780; 11238076; 11436288; 11720634; 11775839; 11790885; 11797545; 11853296; 11947604; 7024691; 7139752; 8559731; 8892554; 9087111; 9105036; 9405823; 9852478,G06F; G06K; G06N; G06Q; G10L; H04L
Lihua Wei,11122153,H01L; H04B; H04L; H04N
Jean-Marie Colonna,5786987,
Igor Ziselman,10916404; 11309162; 11450541; 11710616,G01B; G01N; G05B; G06T; H01J; H01L
Kouichi Shijima,4641215,
Ana Maria Vazquez Lopez,8470322,
Bonian Dai,6847843; 7991472; 8165675; 8798733,A61B
Aleksander Georgi Slavejkov,9976741,B60B; B60Y; F23C; F23D; F23N; F27D
Nasif Bin Shafi,11169796,G06F; H04L
Jussi Alanen,6752347,
Shen Qun,5416845,
Kimberly Sparkes Ostman,8321251; 8352914,
Jack D. Powell,4139166,
Michael Guggemos,6806034; 8202567,
Jeong-Ku Yeo,9963363,C02F; H01G; H01M; Y02E; Y02W
Gennie F. Shrum,5133258,
Emir Deljkich,8333203,
Klaus Hellerbrand,11752135; 12121516; 12161631; 6238664; 7763270; 8257728; 8372419; 8372895; 8546334; 8829072; 9511116; 9526761; 9907829,A61K; C07K
Cheryl J. Cushing,6804844; 7260858,
Ryan J. Cercone,D878658,
Hamed Shahbazi,12265590; 8025213; 8886557,G06F; G06Q; G07F
Stephen Yau-Sang CHENG,8530019; 8652624; 9656446,B32B; Y10T
Steven L. Brewster,4806296; 4868038; 4885150; 4902563; 4923747; 4944999; 4956235; 4978571; 5028477; 5030509; 5034267; 5387725; 5463140,
Zhengdong Wang,8563683; 9447127; 9815869,A61K; C07F; C07K
Daniel Thevenin,8531820,
Tetsu Tomoyose,6680348; 7393886,
ClaireMarie Lachaud,8710917,H03K
Katuji Shindo,4472754; 4502089,
Thomas J. Sheerin,3978139; 5498596,
William Masaitis,4496056; 4499595; 4521862; 4564498; 4580056; 4701621,
Ashoke Ranjan Thakur,8398856,
"Alfred J. Moore, Jr.",4706359,
"Oscar F. Jonas, Jr.",5481581,
Aleksander Drinic,12447240,A61K; A61L; B33Y
Jerell L. Smith,7188807,
Richard Schwab,4523717,
Rihito ISHIKAWA,8617060; 9084557,A61B
Michael Hvorecny,10488295,G01M
Karen Levin,10240944; 10288445; 10323955; 11460317; 9506771; 9506772; 9513136,G01C; G06F; G06Q
Jennifer O'Ioughlin,7799671,
Enrique Frecci Enriquez,10104289; 11565784,B63G; B63H; B64C; G03B; H04N
Gyorgi Keri,4552864; 5700822; 5932602; 5990141,
Takaaki Yoshinari,5191481; 5191483; 5194994; 5249073,
Vibhor Rastogi,10127600; 10423985; 10511886; 10586269; 10650435; 10861055; 11263667; 11303588; 11551140; 11748663; 8281121; 9361322; 9596295; 9928535,G06F; G06N; G06Q; H04L; H04N
Heinz Beneking,4137543; 4212022; 4254430; 4466008; 4563772; 4641921; 4774195; 4963947; 4974037; 5273918; 5422731,
Swapan Kumar Ghosh,10243977; 10817607; 10870751; 11299681; 11945728; 6419620; 6540904; 6702890; 7291199; 7642045; 8088395; 8334368; 9790175; 9809739,B01J; C01G; C07C; C08F; C08L; C09D; C09K; C10G; C22B; G06F; H04L
Wenqiang Ding,12106253; D1062812; D1095626,G01N; G06F; G06Q
Aditya Kampalli,10519025; 10533790; 10786109,A47J; B67B; B67D; F25D
Gae Young CHO,8894581,G01S
Kristine E. Hogan,7422860; 8067184; 8216797; 8835127; 9291549; 9494579,C12M; C12Q; G01N
Howard J. Haugstad,5355305; 5506768,
Noah Mebane,12362016,G11C
Carl BATE,12300392,G06F; G16H
Laurent Cuny,10907522,B01F; F01N
Juiiro Takada,4208770,
Dieter Walz,3933426; 4683861; 6358913,
Helmut Wilkesmann,4153551; 4283286; 4317728; 4320007,
Nadmi Khlat,6242892,
Hakan Ari,11367437,G10L; H04R
Hector Urdiales,11449775; 11727287; 11775494; 11847106; 12271869; 12386797,G06F; G06N; G06Q; G10L
Peter Hanzen Wardenier,10691863; 10719011; 10915689; 10996573; 11036146; 11580274; 12204826; 4952878; 5272437; 5319309; 5450011; 5742165; 7511799; 8184265; 9786044; 9958789,G01B; G03B; G03F; G06F; G06T
Craig R. Gustin,4900186; 5456331; 5494125; 5863149; 5913374; 5931881; 5938371; 6106082,
Shimon Hochbaum,10404369; 7274881; 7489692; 7924847,G01S; G08G; H04B; H04W
Ondrej Plachy,11573063; 12050095; 9176567,F41B; F42B; G06F; H02J
Norio Ichikawa,10079141; 10381215; 11887837; 4058787; 4127464; 4164462; 4200511; 4644797; 4657660; 4670730; 4799018; 4909223; 4915814; 4944274; 5032248; 5243861; 5389198; 5417312; 5616844; 5676851; 6051853; 6167761; 6377056; 6564643; 6877383; 6941815; 7166830; 8895947; 9240313,C09K; C23C; F21K; G01J; H01J
Barry S. Brenner,4223991,
John-Paul Vermitsky,8021846,
Franck Pitre,6086580; 6340495,
Denise Marie Dacey,10004567; 10485627; 8292076; 8517174; 8540139; 8770405; 9265578; D589347; D657124; D826043; D848845,A61B; B65D
Kuei-Chih Wang,5344964,
Henry O. Everitt,11973306,H01S
Joe Lanzino,10060441; 10364823; 11415015; 9429029; 9587645,B22F; B82Y; C23C; F01D; F04D; F05B; F05D; Y02T; Y10T
Toshitada Kato,9812315,C09K; C11D; H01L
Samuel Steven Wolf,11538103,G06Q; G06T
Sunghwan CHO,10988398; 11311777; 11436977; 11488530; 11553851; 11630527; 11896400; 11982611; 12193797; 8781711; 9553267; 9847483,A61B; A63B; B01L; B07C; B33Y; B82Y; C03B; C03C; F02D; F02P; G01N; G06F; G09G; H01L
Ron Callis Morrill,8610755,
Margaret E. Fisher,8001341,
Jonathan Watson,10662896; 11313322; 11484944; 11833587; 11993387; 12177997; 12206288; 12490816; 6587531; 7580838,A44C; A61B; B22F; B23K; B33Y; B64D; F01D; F02C; F02K; F05D; G06F; H02J; H02K; H04B; H04W; H05K
Yajium P. Wang,5304786,
James P Berry,5746391; 5944429,
Norbert Van de Voorde,4404105,
Lulu Zhang,10097128; 10989187; 11192091; 11742728; 11761557; 11834339; 12308465; 12327880; 12418073; 12444782; 12444783; 12444789; 12444791; 8404444; 9512471; D973907,B01J; C01B; C01P; C12Q; F04B; F04D; F16K; F25B; F28F; G01R; G05B; H01M; H02K; H02P; H05K; Y02E
Jacobus Meesters,5842963,
Oscar Fernando Dominguez,8511243; 9777416,D05B
